year,bin_id,economic_lifetime_yrs,loan_term_yrs,loan_interest_rate,down_payment_fraction,real_discount_rate,tax_rate,sector_abbr
2014,1,30,30,0.012,1,0.01,0.257,res
2014,2,30,30,0.012,1,0.01,0.257,res
2014,3,30,30,0.012,1,0.01,0.257,res
2014,4,30,30,0.012,1,0.01,0.257,res
2014,5,30,30,0.012,1,0.04,0.257,res
2014,6,30,30,0.012,1,0.04,0.257,res
2014,7,30,30,0.012,1,0.04,0.257,res
2014,8,30,30,0.012,1,0.04,0.257,res
2014,9,30,30,0.012,1,0.027,0.257,res
2014,10,30,30,0.012,1,0.027,0.257,res
2014,11,30,30,0.012,1,0.027,0.257,res
2014,12,30,30,0.012,1,0.027,0.257,res
2014,13,30,30,0.012,1,0.02,0.257,res
2014,14,30,30,0.012,1,0.02,0.257,res
2014,15,30,30,0.012,1,0.02,0.257,res
2014,16,30,30,0.012,1,0.02,0.257,res
2014,17,30,30,0.012,1,0.05,0.257,res
2014,18,30,30,0.012,1,0.05,0.257,res
2014,19,30,30,0.012,1,0.05,0.257,res
2014,20,30,30,0.012,1,0.05,0.257,res
2016,1,30,30,0.012,1,0.01,0.257,res
2016,2,30,30,0.012,1,0.01,0.257,res
2016,3,30,30,0.012,1,0.01,0.257,res
2016,4,30,30,0.012,1,0.01,0.257,res
2016,5,30,30,0.012,1,0.04,0.257,res
2016,6,30,30,0.012,1,0.04,0.257,res
2016,7,30,30,0.012,1,0.04,0.257,res
2016,8,30,30,0.012,1,0.04,0.257,res
2016,9,30,30,0.012,1,0.027,0.257,res
2016,10,30,30,0.012,1,0.027,0.257,res
2016,11,30,30,0.012,1,0.027,0.257,res
2016,12,30,30,0.012,1,0.027,0.257,res
2016,13,30,30,0.012,1,0.02,0.257,res
2016,14,30,30,0.012,1,0.02,0.257,res
2016,15,30,30,0.012,1,0.02,0.257,res
2016,16,30,30,0.012,1,0.02,0.257,res
2016,17,30,30,0.012,1,0.05,0.257,res
2016,18,30,30,0.012,1,0.05,0.257,res
2016,19,30,30,0.012,1,0.05,0.257,res
2016,20,30,30,0.012,1,0.05,0.257,res
2018,1,30,30,0.012,1,0.01,0.257,res
2018,2,30,30,0.012,1,0.01,0.257,res
