state,state_abbr,sector_abbr,year,observed_capacity_kw,observed_count
Alabama,AL,com,2014,1366.2600000000002,33.0
Alabama,AL,com,2016,2833.459999999998,67.99999999999999
Alabama,AL,com,2018,18975.272987013006,99.00000000000006
Alabama,AL,res,2014,535.4200000000002,42.0
Alabama,AL,res,2016,905.4500000000004,72.99999999999999
Alabama,AL,res,2018,1246.6499999999996,103.00000000000001
Arizona,AZ,com,2014,367580.16430000035,2505.0000000000014
Arizona,AZ,com,2016,425205.0313000004,3183.0000000000014
Arizona,AZ,com,2018,497664.90028983756,3763.000000000001
Arizona,AZ,res,2014,332395.51266666275,47613.000000000015
Arizona,AZ,res,2016,624745.3706666628,83892.00000000004
Arizona,AZ,res,2018,1000122.085,130349.00000000003
Arkansas,AR,com,2014,185.78000000000003,13.0
Arkansas,AR,com,2016,1978.7356321839102,24.000000000000007
Arkansas,AR,com,2018,4888.735632183911,64.99999999999996
Arkansas,AR,res,2014,414.04099999999994,71.0
Arkansas,AR,res,2016,1458.160919540229,184.99999999999994
Arkansas,AR,res,2018,7051.520114942528,771.0000000000002
California,CA,com,2014,1398211.216708219,13769.000000000005
California,CA,com,2016,2735668.661229891,21264.999999999993
California,CA,com,2018,4156896.014306421,28870.0
California,CA,res,2014,1698299.9999999998,315405.0000000003
California,CA,res,2016,3771735.4843361787,641893.9999999999
California,CA,res,2018,5584107.876709401,907930.0
Colorado,CO,com,2014,156569.99999999997,1731.9999999999993
Colorado,CO,com,2016,183683.12137930992,1860.9999999999995
Colorado,CO,com,2018,243506.6093103451,2122.9999999999995
Colorado,CO,res,2014,135749.99999999988,23177.999999999996
Colorado,CO,res,2016,212375.94827586212,34757.0
Colorado,CO,res,2018,322260.94080459815,50919.99999999999
Connecticut,CT,com,2014,38621.3605,2921.0
Connecticut,CT,com,2016,110462.7455,9319.0
Connecticut,CT,com,2018,151362.7065,11822.0
Connecticut,CT,res,2014,48383.00000000002,5675.000000000002
Connecticut,CT,res,2016,167598.97701149408,20990.000000000007
Connecticut,CT,res,2018,270628.072988506,32565.999999999996
Delaware,DE,com,2014,12151.958999999999,362.0
Delaware,DE,com,2016,14146.169000000002,486.0
Delaware,DE,com,2018,14645.434,504.0
Delaware,DE,res,2014,9356.419,1539.0
Delaware,DE,res,2016,30301.96551724136,3791.9999999999977
Delaware,DE,res,2018,52529.76666666668,5966.000000000004
Florida,FL,com,2014,61669.27999999997,1374.9999999999998
Florida,FL,com,2016,87239.27999999996,1606.0000000000007
Florida,FL,com,2018,110068.88608519293,1888.9999999999995
Florida,FL,res,2014,29914.839999999986,6714.999999999998
Florida,FL,res,2016,73942.90714334011,12833.999999999996
Florida,FL,res,2018,230069.60996213608,31384.000000000007
Georgia,GA,com,2014,26170.0,280.9999999999999
Georgia,GA,com,2016,31610.00000000001,435.0000000000003
Georgia,GA,com,2018,40845.14022988507,450.0
Georgia,GA,res,2014,3389.9999999999986,463.0
Georgia,GA,res,2016,5040.0,779.0000000000005
Georgia,GA,res,2018,5662.000000000004,844.0000000000001
Idaho,ID,com,2014,321.83908045977006,11.0
Idaho,ID,com,2016,1154.022988505749,52.99999999999996
Idaho,ID,com,2018,3247.482873563221,119.9999999999999
Idaho,ID,res,2014,472.4137931034478,82.99999999999997
Idaho,ID,res,2016,4953.563218390803,656.9999999999997
Idaho,ID,res,2018,26905.766091954014,3304.0000000000005
Illinois,IL,com,2014,5312.879999999993,263.00000000000017
Illinois,IL,com,2016,22223.5,283.99999999999966
Illinois,IL,com,2018,46740.35804597697,591.0000000000003
Illinois,IL,res,2014,4253.899999999998,956.0000000000002
Illinois,IL,res,2016,9293.899999999996,1626.0000000000002
Illinois,IL,res,2018,22930.641954023,3071.000000000001
Indiana,IN,com,2014,5098.000000000002,67.99999999999997
Indiana,IN,com,2016,12528.0,160.0
Indiana,IN,com,2018,60561.09361098668,400.00000000000017
Indiana,IN,res,2014,1160.9999999999998,177.99999999999994
Indiana,IN,res,2016,4600.999999999999,535.9999999999998
Indiana,IN,res,2018,17865.6560904613,1750.0000000000016
Iowa,IA,com,2014,13742.000000000002,508.99999999999983
Iowa,IA,com,2016,29942.00000000001,904.9999999999997
Iowa,IA,com,2018,60345.76954022991,1592.0
Iowa,IA,res,2014,7059.000000000001,675.9999999999995
Iowa,IA,res,2016,10948.99999999999,1110.0000000000002
Iowa,IA,res,2018,21854.9459770115,2142.999999999999
Kansas,KS,com,2014,225.85,8.0
Kansas,KS,com,2016,225.85,8.0
Kansas,KS,com,2018,536.77,17.0
Kansas,KS,res,2014,116.87,28.0
Kansas,KS,res,2016,239.83999999999997,47.0
Kansas,KS,res,2018,652.8699999999999,97.0
Kentucky,KY,com,2014,225.28735632183887,8.999999999999996
Kentucky,KY,com,2016,639.0804597701152,38.99999999999996
Kentucky,KY,com,2018,12536.984430512,107.99999999999996
Kentucky,KY,res,2014,339.0804597701149,32.99999999999999
Kentucky,KY,res,2016,1818.3908045977,198.00000000000006
Kentucky,KY,res,2018,4951.7538035527705,470.0000000000001
Louisiana,LA,com,2014,885.0000000000002,33.000000000000014
Louisiana,LA,com,2016,1626.9999999999984,65.00000000000001
Louisiana,LA,com,2018,7342.56609195402,238.9999999999999
Louisiana,LA,res,2014,29777.99999999998,5325.000000000003
Louisiana,LA,res,2016,74139.99999999999,11275.000000000002
Louisiana,LA,res,2018,88920.02644620309,14041.000000000007
Maine,ME,com,2014,3028.169,482.0
Maine,ME,com,2016,3028.169,482.0
Maine,ME,com,2018,3028.169,482.0
Maine,ME,res,2014,0.0,0.0
Maine,ME,res,2016,0.0,0.0
Maine,ME,res,2018,0.0,0.0
Maryland,MD,com,2014,121630.65999999989,765.9999999999997
Maryland,MD,com,2016,224017.76344827603,1223.9999999999995
Maryland,MD,com,2018,305372.04275862104,1472.9999999999998
